0,P Raj
1,J Searles
2,MM Sharma
3,K Rabada
4,S Kaul
5,DJ Bravo
6,S Sharma
7,VR Aaron
8,A Joseph
9,Mohammed Siraj
10,S Warrier
11,C de Grandhomme
12,V Shankar
13,MJ McClenaghan
14,JJ Bumrah
15,H Gurney
16,D Willey
17,HH Pandya
18,CH Morris
19,P Krishna
20,J Archer
21,J Dala
22,H Viljoen
23,R Salam
24,Mustafizur Rahman
25,B Kumar
26,BA Stokes
27,BCJ Cutting
28,L Ngidi
29,MG Johnson
30,HV Patel
31,KM Asif
32,S Mavi
33,TG Southee
34,JD Unadkat
35,AD Russell
36,DW Steyn
37,UT Yadav
38,CJ Anderson
39,Mohammed Shami
40,CJ Jordan
41,AJ Tye
42,K Paul
43,AS Rajpoot
44,J Behrendorff
45,SL Malinga
46,PJ Sangwan
47,Anureet Singh
48,B Laughlin
49,Avesh Khan
50,Mandeep Singh
51,O Thomas
52,K Khejroliya
53,S Dube
54,A Singh
55,I Sharma
56,BB Sran
57,SN Thakur
58,DL Chahar
59,N Saini
60,MP Stoinis
61,SR Watson
62,Basil Thampi
63,TA Boult
64,L Ferguson
65,Sandeep Sharma
66,S Curran
67,S Kuggeleijn
68,K Ahmed
69,DT Christian
70,B Stanlake
71,CR Brathwaite
72,DS Kulkarni
73,T Curran
74,STR Binny
75,S Rutherford
76,M Wood
77,CR Woakes
78,L Plunkett
79,R Vinay Kumar
